EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,9,7,6,9,9,6,0,15,haige; soome; teaduslik; töö; ilmar; talve; ants; mälestuste; naine; viires; tegevus; etnoloog; raamat
9,7,9,6,7,9,9,6,0,15,haige; soome; teaduslik; töö; ilmar; talve; mälestuste; ants; naine; viires; tegevus; etnoloog; raamat
11,7,9,6,7,9,9,6,0,15,haige; soome; teaduslik; töö; ilmar; talve; mälestuste; ants; naine; viires; tegevus; etnoloog; raamat
11,8,9,6,7,8,9,6,0,15,haige; soome; teaduslik; töö; ilmar; talve; mälestuste; ants; naine; viires; tegevus; etnoloog; raamat
9,8,10,7,7,8,9,6,0,15,haige; soome; teaduslik; töö; ilmar; talve; mälestuste; ants; naine; viires; tegevus; etnoloog; raamat
5,10,11,8,10,10,10,6,0,15,haige; soome; teaduslik; töö; ilmar; talve; ants; mälestuste; naine; viires; tegevus; etnoloog; raamat
9,11,8,12,11,10,11,7,0,15,haige; soome; teaduslik; töö; ilmar; talve; mälestuste; ants; naine; viires; tegevus; etnoloog; raamat
8,9,10,8,11,9,9,7,0,15,haige; soome; teaduslik; töö; ilmar; talve; mälestuste; ants; naine; viires; tegevus; etnoloog; raamat
8,8,9,8,8,7,11,9,0,15,haige; soome; teaduslik; töö; ilmar; talve; mälestuste; ants; naine; viires; tegevus; etnoloog; raamat
8,10,10,9,9,8,9,11,0,15,haige; soome; teaduslik; töö; ilmar; talve; mälestuste; ants; naine; viires; tegevus; etnoloog; raamat
9,9,11,9,9,7,8,11,0,15,haige; soome; teaduslik; töö; ilmar; talve; mälestuste; ants; naine; viires; tegevus; etnoloog; raamat
