EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,4,4,2,3,6,4,5,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; savi; muld; kopsurohi; metsaalune
7,6,4,4,2,3,6,4,5,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; savi; muld; kopsurohi; metsaalune
7,6,4,4,2,3,6,4,5,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; savi; muld; kopsurohi; metsaalune
7,6,4,4,2,3,6,4,5,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; savi; muld; kopsurohi; metsaalune
7,6,4,4,2,3,6,4,5,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; savi; muld; kopsurohi; metsaalune
7,6,4,4,2,3,6,4,5,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; savi; muld; kopsurohi; metsaalune
7,6,4,4,2,3,6,4,5,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; savi; muld; kopsurohi; metsaalune
7,6,4,4,2,3,6,4,5,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; savi; muld; kopsurohi; metsaalune
7,6,4,4,2,3,6,4,5,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; savi; muld; kopsurohi; metsaalune
7,6,4,4,2,3,6,4,5,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; savi; muld; kopsurohi; metsaalune
7,6,4,4,2,3,6,4,5,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; savi; muld; kopsurohi; metsaalune
