EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,4,3,1,0,2,2,3,4,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
0,4,3,1,0,2,2,3,4,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
0,4,3,1,0,2,2,3,4,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
0,4,3,1,0,2,2,3,4,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
0,4,3,1,0,2,2,3,4,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
0,4,3,1,0,2,2,3,4,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
0,4,3,1,0,2,2,3,4,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
0,4,3,1,0,2,2,3,4,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
0,4,3,1,0,2,2,3,4,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
0,4,3,1,0,2,2,3,4,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
0,4,3,1,0,2,2,3,4,10,töö; vabadus; varandus; kompenseerima; õigus; kolhoos; talu
