EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,1,2,2,1,1,3,0,16,piret; lasmann; peeter; kriivan; tunnustus; teenetemärk; enesekindlus
1,2,1,2,2,1,1,3,0,16,piret; lasmann; peeter; kriivan; tunnustus; teenetemärk; enesekindlus
1,2,1,2,2,1,1,3,0,16,piret; lasmann; peeter; kriivan; tunnustus; teenetemärk; enesekindlus
1,2,1,2,2,1,1,3,1,16,piret; lasmann; peeter; kriivan; tunnustus; teenetemärk; enesekindlus
1,2,1,2,2,1,1,3,1,16,piret; lasmann; peeter; kriivan; tunnustus; teenetemärk; enesekindlus
1,2,1,2,2,1,1,3,1,16,piret; lasmann; peeter; kriivan; tunnustus; teenetemärk; enesekindlus
1,2,1,2,2,1,1,3,1,16,piret; lasmann; peeter; kriivan; tunnustus; teenetemärk; enesekindlus
1,2,1,2,2,1,1,3,1,16,piret; lasmann; peeter; kriivan; tunnustus; teenetemärk; enesekindlus
1,2,1,2,2,1,1,3,1,16,piret; lasmann; peeter; kriivan; tunnustus; teenetemärk; enesekindlus
1,2,1,2,2,1,1,3,1,16,piret; lasmann; peeter; kriivan; tunnustus; teenetemärk; enesekindlus
1,2,1,2,2,1,1,3,1,16,piret; lasmann; peeter; kriivan; tunnustus; teenetemärk; enesekindlus
