EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,1,1,0,2,2,3,3,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
4,3,1,1,0,2,2,3,3,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
4,3,1,1,0,2,2,3,3,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
4,3,1,1,0,2,2,3,4,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
4,3,1,1,0,2,2,3,4,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
4,3,1,1,0,2,2,3,4,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
4,3,1,1,0,2,2,3,4,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
4,3,1,1,0,2,2,3,4,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
4,3,1,1,0,2,2,3,4,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
4,3,1,1,0,2,2,3,4,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
4,3,1,1,0,2,2,3,4,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
