EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,2,2,0,2,1,1,2,10,kirikukell; sünnipäev; kirik; jumalateenistus; ameerika
0,1,2,2,0,2,1,1,2,10,kirikukell; sünnipäev; kirik; jumalateenistus; ameerika
0,1,2,2,0,2,1,1,2,10,kirikukell; sünnipäev; kirik; jumalateenistus; ameerika
0,1,2,2,0,2,1,1,2,10,kirikukell; sünnipäev; kirik; jumalateenistus; ameerika
0,1,2,2,0,2,1,1,2,10,kirikukell; sünnipäev; kirik; jumalateenistus; ameerika
0,1,2,2,0,2,1,1,2,10,kirikukell; sünnipäev; kirik; jumalateenistus; ameerika
0,1,2,2,0,2,1,1,2,10,kirikukell; sünnipäev; kirik; jumalateenistus; ameerika
0,1,2,2,0,2,1,1,2,10,kirikukell; sünnipäev; kirik; jumalateenistus; ameerika
0,1,2,2,0,2,1,1,2,10,kirikukell; sünnipäev; kirik; jumalateenistus; ameerika
0,1,2,2,0,2,1,1,2,10,kirikukell; sünnipäev; kirik; jumalateenistus; ameerika
0,1,2,2,0,2,1,1,2,10,kirikukell; sünnipäev; kirik; jumalateenistus; ameerika
