EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,2,1,2,3,2,2,1,12,põlevkivikaevandus; energia; põlevkivitootja; nõukogu; töötama; andma
1,2,2,1,2,3,2,2,1,12,põlevkivikaevandus; energia; põlevkivitootja; nõukogu; töötama; andma
1,2,2,1,2,3,2,2,1,12,põlevkivikaevandus; energia; põlevkivitootja; nõukogu; töötama; andma
1,2,2,1,2,3,2,2,1,12,põlevkivikaevandus; energia; põlevkivitootja; nõukogu; töötama; andma
1,2,2,1,2,3,2,2,1,12,põlevkivikaevandus; energia; põlevkivitootja; nõukogu; töötama; andma
1,2,2,1,2,3,2,2,1,12,põlevkivikaevandus; energia; põlevkivitootja; nõukogu; töötama; andma
1,2,2,1,2,3,2,2,1,12,põlevkivikaevandus; energia; põlevkivitootja; nõukogu; töötama; andma
1,2,2,1,2,3,2,2,1,12,põlevkivikaevandus; energia; põlevkivitootja; nõukogu; töötama; andma
1,2,2,1,2,3,2,2,1,12,põlevkivikaevandus; energia; põlevkivitootja; nõukogu; töötama; andma
1,2,2,1,2,3,2,2,1,12,põlevkivikaevandus; energia; põlevkivitootja; nõukogu; töötama; andma
1,2,2,1,2,3,2,2,1,12,põlevkivikaevandus; energia; põlevkivitootja; nõukogu; töötama; andma
