EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,2,1,2,3,4,1,0,13,salaja; aasta; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
0,2,2,1,2,3,4,1,0,13,salaja; aasta; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
0,2,2,1,2,3,4,1,0,13,salaja; aasta; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
0,2,2,1,2,3,4,1,0,13,salaja; aasta; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
0,2,2,1,2,3,4,1,0,13,salaja; aasta; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
0,2,2,1,2,3,4,1,0,13,salaja; aasta; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
0,2,2,1,2,3,4,1,0,13,salaja; aasta; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
0,2,2,1,2,3,4,1,0,13,salaja; aasta; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
0,2,2,1,2,3,4,1,0,13,salaja; aasta; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
0,2,2,1,2,3,4,1,0,13,salaja; aasta; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
0,2,2,1,2,3,4,1,0,13,salaja; aasta; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
