EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,1,0,0,4,4,2,2,10,õigus; talu; vabadus; taluseadus; kolhoos; talupoeg
1,1,1,0,0,4,4,2,2,10,õigus; talu; vabadus; taluseadus; kolhoos; talupoeg
1,1,1,0,0,4,4,2,2,10,õigus; talu; vabadus; taluseadus; kolhoos; talupoeg
1,1,1,0,0,4,4,2,2,10,õigus; talu; vabadus; taluseadus; kolhoos; talupoeg
1,1,1,0,0,4,4,2,2,10,õigus; talu; vabadus; taluseadus; kolhoos; talupoeg
1,1,1,0,0,4,4,2,2,10,õigus; talu; vabadus; taluseadus; kolhoos; talupoeg
1,1,1,0,0,4,4,2,2,10,õigus; talu; vabadus; taluseadus; kolhoos; talupoeg
1,1,1,0,0,4,4,2,2,10,õigus; talu; vabadus; taluseadus; kolhoos; talupoeg
1,1,1,0,0,4,4,2,2,10,õigus; talu; vabadus; taluseadus; kolhoos; talupoeg
1,1,1,0,0,4,4,2,2,10,õigus; talu; vabadus; taluseadus; kolhoos; talupoeg
1,1,1,0,0,4,4,2,2,10,õigus; talu; vabadus; taluseadus; kolhoos; talupoeg
