EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,5,1,1,3,4,4,1,13,püha; kirikukalender; johannes; paavst; issand; gregorius; pühakutepäev; jumal
0,2,5,1,1,3,4,4,1,13,püha; kirikukalender; johannes; paavst; issand; gregorius; pühakutepäev; jumal
0,2,5,1,1,3,4,4,1,13,püha; kirikukalender; johannes; paavst; issand; gregorius; pühakutepäev; jumal
0,2,5,1,1,3,4,4,1,13,püha; kirikukalender; johannes; paavst; issand; gregorius; pühakutepäev; jumal
0,2,5,1,1,3,4,4,0,13,püha; kirikukalender; johannes; paavst; issand; gregorius; pühakutepäev; jumal
0,2,5,1,1,3,4,4,0,13,püha; kirikukalender; johannes; paavst; issand; gregorius; pühakutepäev; jumal
0,2,5,1,1,3,4,4,0,13,püha; kirikukalender; johannes; paavst; issand; gregorius; pühakutepäev; jumal
0,2,5,1,1,3,4,4,1,13,püha; kirikukalender; johannes; paavst; issand; gregorius; pühakutepäev; jumal
0,2,5,1,1,3,4,4,1,13,püha; kirikukalender; johannes; paavst; issand; gregorius; pühakutepäev; jumal
0,2,5,1,1,3,4,4,1,13,püha; kirikukalender; johannes; paavst; issand; gregorius; pühakutepäev; jumal
0,2,5,1,1,3,4,4,1,13,püha; kirikukalender; johannes; paavst; issand; gregorius; pühakutepäev; jumal
