EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,2,0,2,2,3,5,2,10,sajand; kange; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
0,2,2,0,2,2,3,5,2,10,sajand; kange; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
0,2,2,0,2,2,3,5,2,10,sajand; kange; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
0,2,2,0,2,2,3,5,2,10,sajand; kange; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
0,2,2,0,2,2,3,5,2,10,sajand; kange; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
0,2,2,0,2,2,3,5,2,10,sajand; kange; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
0,2,2,0,2,2,3,5,2,10,sajand; kange; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
0,2,2,0,2,2,3,5,2,10,sajand; kange; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
0,2,2,0,2,2,3,5,2,10,sajand; kange; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
0,2,2,0,2,2,3,5,2,10,sajand; kange; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
0,2,2,0,2,2,3,5,2,10,sajand; kange; mees; piibujutt; tüdruk; mittesuitsetaja; autojuht
