EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,1,0,0,2,2,0,0,12,luuletaja; raadioarhiiv; romaan
1,1,1,0,0,2,2,0,0,12,luuletaja; raadioarhiiv; romaan
1,1,1,0,0,2,2,0,0,12,luuletaja; raadioarhiiv; romaan
1,1,1,0,0,2,2,0,0,12,luuletaja; raadioarhiiv; romaan
1,1,1,0,0,2,2,0,0,12,luuletaja; raadioarhiiv; romaan
1,1,1,0,0,2,2,0,0,12,luuletaja; raadioarhiiv; romaan
1,1,1,0,0,2,2,0,0,12,luuletaja; raadioarhiiv; romaan
1,1,0,0,0,2,2,0,0,12,luuletaja; raadioarhiiv; romaan
1,1,0,0,0,2,2,0,0,12,luuletaja; raadioarhiiv; romaan
1,1,0,0,0,2,3,0,0,12,luuletaja; raadioarhiiv; romaan
1,1,0,0,0,2,3,0,0,12,luuletaja; raadioarhiiv; romaan
