EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,3,0,2,0,3,0,0,11,antenn; signaal; strandberg; valgus
1,2,3,0,2,0,3,0,0,11,antenn; signaal; strandberg; valgus
1,2,3,0,2,0,3,0,0,11,antenn; signaal; strandberg; valgus
1,2,3,0,2,0,3,0,0,11,antenn; signaal; strandberg; valgus
1,2,3,0,2,0,3,0,0,11,antenn; signaal; strandberg; valgus
1,2,3,0,2,0,3,0,0,11,antenn; signaal; strandberg; valgus
1,2,3,0,2,0,3,0,0,11,antenn; signaal; strandberg; valgus
1,2,3,0,2,0,3,0,0,11,antenn; signaal; strandberg; valgus
1,2,3,0,2,0,3,0,0,11,antenn; signaal; strandberg; valgus
1,2,3,0,2,0,3,0,0,11,antenn; signaal; strandberg; valgus
1,2,3,0,2,0,3,0,0,11,antenn; signaal; strandberg; valgus
