EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,2,0,0,1,1,0,2,10,elizabeth; muusikaline; tekst
0,0,2,0,0,1,1,0,2,10,elizabeth; muusikaline; tekst
0,0,2,0,0,1,1,0,2,10,elizabeth; muusikaline; tekst
0,0,2,0,0,1,1,0,2,10,elizabeth; muusikaline; tekst
0,0,1,0,0,1,1,0,2,10,elizabeth; muusikaline; tekst
0,0,1,0,0,1,1,0,2,10,elizabeth; muusikaline; tekst
0,0,1,0,0,1,0,0,2,10,elizabeth; muusikaline; tekst
0,0,1,0,0,0,0,0,2,10,elizabeth; muusikaline; tekst
0,0,1,0,0,0,0,0,2,10,elizabeth; muusikaline; tekst
0,0,1,0,0,0,1,0,2,10,elizabeth; muusikaline; tekst
1,0,1,0,0,0,1,0,1,10,elizabeth; muusikaline; california
