EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,1,1,0,1,2,1,2,11,kümnevõistleja; muusika; barcelona; klassikaraadio; maailmameistrivõistlus
2,1,1,1,0,1,2,1,2,11,kümnevõistleja; muusika; barcelona; klassikaraadio; maailmameistrivõistlus
2,1,1,1,0,1,2,1,2,11,kümnevõistleja; muusika; barcelona; klassikaraadio; maailmameistrivõistlus
2,1,1,1,0,1,2,1,2,11,kümnevõistleja; muusika; barcelona; klassikaraadio; maailmameistrivõistlus
2,1,1,1,0,1,2,1,2,11,kümnevõistleja; muusika; barcelona; klassikaraadio; maailmameistrivõistlus
2,1,1,1,0,1,2,1,2,11,kümnevõistleja; muusika; barcelona; klassikaraadio; maailmameistrivõistlus
2,1,1,1,0,1,2,1,2,11,kümnevõistleja; muusika; barcelona; klassikaraadio; maailmameistrivõistlus
2,1,1,1,0,1,2,1,2,11,kümnevõistleja; muusika; barcelona; klassikaraadio; maailmameistrivõistlus
2,1,1,1,0,1,2,1,2,11,kümnevõistleja; muusika; barcelona; klassikaraadio; maailmameistrivõistlus
2,1,1,1,0,1,2,1,2,11,kümnevõistleja; muusika; barcelona; klassikaraadio; maailmameistrivõistlus
2,1,1,1,0,1,2,1,2,11,kümnevõistleja; muusika; barcelona; klassikaraadio; maailmameistrivõistlus
