EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,2,0,1,2,2,2,0,15,uus; kanada; programm; aasta; trump
0,1,2,0,1,2,2,2,0,15,uus; kanada; programm; aasta; trump
0,1,2,0,1,2,2,2,0,15,uus; kanada; programm; aasta; trump
0,1,2,0,1,2,2,2,0,15,uus; kanada; programm; aasta; trump
0,1,2,0,1,2,2,2,0,15,uus; kanada; programm; aasta; trump
0,1,2,0,1,2,2,2,0,15,uus; kanada; programm; aasta; trump
0,1,2,0,1,2,2,2,0,15,uus; kanada; programm; aasta; trump
0,1,2,0,1,2,2,2,0,15,uus; kanada; programm; aasta; trump
0,1,1,0,1,2,2,2,0,15,uus; kanada; programm; aasta; trump
0,1,1,0,1,2,2,2,0,15,uus; kanada; programm; aasta; trump
0,1,2,0,1,2,2,2,0,15,uus; kanada; programm; aasta; trump
