EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,2,0,1,1,1,1,2,13,meediatarbimine; uudis; aeg; internet; raadiojaam; port
1,0,2,0,1,1,1,1,1,13,meediatarbimine; uudis; aeg; internet; raadiojaam; port
1,0,2,0,1,1,1,1,1,13,meediatarbimine; uudis; aeg; internet; raadiojaam; port
1,0,2,0,1,1,1,1,1,13,meediatarbimine; uudis; aeg; internet; raadiojaam; port
1,0,2,0,1,1,1,1,1,13,meediatarbimine; uudis; aeg; internet; raadiojaam; port
1,0,2,0,1,1,1,1,1,13,meediatarbimine; uudis; aeg; internet; raadiojaam; port
1,0,2,0,1,1,1,1,1,13,meediatarbimine; uudis; aeg; internet; raadiojaam; port
1,0,2,0,1,1,1,1,1,13,meediatarbimine; uudis; aeg; internet; raadiojaam; port
1,0,2,0,1,1,1,1,1,13,meediatarbimine; uudis; aeg; internet; raadiojaam; port
1,0,2,0,1,1,1,1,1,13,meediatarbimine; uudis; aeg; internet; raadiojaam; port
1,0,2,0,1,1,1,1,1,13,meediatarbimine; uudis; aeg; internet; raadiojaam; port
