EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,1,0,1,2,1,1,0,11,ettekujutus; õppimine; nägemus; tooming; enesetunnetus
1,1,1,0,1,2,1,1,0,11,ettekujutus; õppimine; nägemus; tooming; enesetunnetus
1,1,1,0,1,2,1,1,0,11,ettekujutus; õppimine; nägemus; tooming; enesetunnetus
1,1,1,0,1,2,1,1,0,11,ettekujutus; õppimine; nägemus; tooming; enesetunnetus
1,1,1,0,1,2,1,1,0,11,ettekujutus; õppimine; nägemus; tooming; enesetunnetus
1,1,1,0,1,2,1,1,0,11,ettekujutus; õppimine; nägemus; tooming; enesetunnetus
1,1,1,0,1,2,1,1,1,11,ettekujutus; õppimine; nägemus; tooming; enesetunnetus
1,1,1,0,1,2,1,1,0,11,ettekujutus; õppimine; nägemus; tooming; enesetunnetus
1,1,1,0,1,2,1,1,0,11,ettekujutus; õppimine; nägemus; tooming; enesetunnetus
1,1,1,0,1,2,1,1,0,11,ettekujutus; õppimine; nägemus; tooming; enesetunnetus
1,1,1,0,1,2,1,1,0,11,ettekujutus; õppimine; nägemus; tooming; enesetunnetus
