EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,6,2,0,3,3,5,3,15,kangekaelsus; eesti; kirik; kannatlikkus; jüri; luterlik; hommikupalvus; patt; ori; evangeelium; jumal; sõna
3,3,6,2,0,3,3,5,3,15,kangekaelsus; eesti; kirik; kannatlikkus; jüri; luterlik; hommikupalvus; patt; ori; evangeelium; jumal; sõna
3,3,6,2,0,3,3,5,3,15,kangekaelsus; eesti; kirik; kannatlikkus; jüri; luterlik; hommikupalvus; patt; ori; evangeelium; jumal; sõna
3,3,6,2,0,3,3,5,3,15,kangekaelsus; eesti; kirik; kannatlikkus; jüri; luterlik; hommikupalvus; patt; ori; evangeelium; jumal; sõna
3,3,6,2,0,3,3,5,3,15,kangekaelsus; eesti; kirik; kannatlikkus; jüri; luterlik; hommikupalvus; patt; ori; evangeelium; jumal; sõna
3,3,6,2,0,3,3,5,3,15,kangekaelsus; eesti; kirik; kannatlikkus; jüri; luterlik; hommikupalvus; patt; ori; evangeelium; jumal; sõna
3,3,6,2,0,3,3,5,3,15,kangekaelsus; eesti; kirik; kannatlikkus; jüri; luterlik; hommikupalvus; patt; ori; evangeelium; jumal; sõna
3,3,6,2,0,3,3,5,3,15,kangekaelsus; eesti; kirik; kannatlikkus; jüri; luterlik; hommikupalvus; patt; ori; evangeelium; jumal; sõna
3,3,6,2,0,3,3,5,3,15,kangekaelsus; eesti; kirik; kannatlikkus; jüri; luterlik; hommikupalvus; patt; ori; evangeelium; jumal; sõna
3,3,6,2,0,3,3,5,3,15,kangekaelsus; eesti; kirik; kannatlikkus; jüri; luterlik; hommikupalvus; patt; ori; evangeelium; jumal; sõna
3,3,6,2,0,3,3,5,3,15,kangekaelsus; eesti; kirik; kannatlikkus; jüri; luterlik; hommikupalvus; patt; ori; evangeelium; jumal; sõna
