EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,3,3,2,3,3,3,0,10,ühendproov; saatja; traditsioon; meeskoor; koor; repertuaar; laulupidu
2,1,3,3,2,3,3,3,0,10,ühendproov; saatja; traditsioon; meeskoor; koor; repertuaar; laulupidu
2,1,3,3,2,3,3,3,0,10,ühendproov; saatja; traditsioon; meeskoor; koor; repertuaar; laulupidu
2,1,3,3,2,3,3,3,0,10,ühendproov; saatja; traditsioon; meeskoor; koor; repertuaar; laulupidu
2,1,3,3,2,3,3,3,0,10,ühendproov; saatja; traditsioon; meeskoor; koor; repertuaar; laulupidu
2,1,3,3,2,3,3,3,0,10,ühendproov; saatja; traditsioon; meeskoor; koor; repertuaar; laulupidu
2,1,3,3,2,3,3,3,0,10,ühendproov; saatja; traditsioon; meeskoor; koor; repertuaar; laulupidu
2,1,3,3,2,3,3,3,0,10,ühendproov; saatja; traditsioon; meeskoor; koor; repertuaar; laulupidu
2,1,3,3,2,3,3,3,0,10,ühendproov; saatja; traditsioon; meeskoor; koor; repertuaar; laulupidu
2,1,3,3,2,3,3,3,0,10,ühendproov; saatja; traditsioon; meeskoor; koor; repertuaar; laulupidu
2,1,3,2,2,3,3,3,0,10,ühendproov; saatja; traditsioon; meeskoor; koor; repertuaar; laulupidu
