EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,2,3,1,2,2,4,1,12,koit; hämarik; lind; faehlmann; robert; päike; friedrich; taevas
3,3,2,3,1,2,2,4,1,12,koit; hämarik; lind; faehlmann; robert; päike; friedrich; taevas
3,3,2,3,1,2,2,4,1,12,koit; hämarik; lind; faehlmann; robert; päike; friedrich; taevas
3,3,2,3,1,2,2,4,1,12,koit; hämarik; lind; faehlmann; robert; päike; friedrich; taevas
3,3,2,3,1,2,2,4,1,12,koit; hämarik; lind; faehlmann; robert; päike; friedrich; taevas
3,3,2,3,1,2,2,4,1,12,koit; hämarik; lind; faehlmann; robert; päike; friedrich; taevas
3,3,2,3,1,2,2,4,1,12,koit; hämarik; lind; faehlmann; robert; päike; friedrich; taevas
3,3,2,3,1,2,2,4,1,12,koit; hämarik; lind; faehlmann; robert; päike; friedrich; taevas
4,3,2,2,1,2,2,4,1,12,hämarik; lind; faehlmann; robert; taevas; päike; friedrich; koit
5,3,2,2,1,2,1,4,1,12,hämarik; lind; faehlmann; taevas; robert; päike; friedrich; koit
5,2,4,2,1,2,1,4,1,12,hämarik; lind; robert; taevas; faehlmann; päike; friedrich; koit
