EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,6,4,3,2,4,4,4,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
5,6,6,4,3,2,4,4,4,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
5,6,6,4,3,2,4,4,4,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
5,6,6,4,3,2,4,4,4,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
5,6,6,4,3,2,4,4,4,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
5,6,6,4,3,2,4,4,4,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
5,6,6,4,3,2,4,4,4,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
5,6,6,4,3,2,4,4,4,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
5,6,6,4,3,2,4,4,4,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
5,6,6,4,3,2,4,4,4,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
5,6,6,4,3,2,4,4,4,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
