EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,1,0,1,1,0,1,1,11,abitu; kriitika; tähtsus; kirjanik
1,1,1,0,1,1,0,1,1,11,abitu; kriitika; tähtsus; kirjanik
1,1,1,0,1,1,0,1,1,11,abitu; kriitika; tähtsus; kirjanik
1,1,1,0,1,1,0,1,1,11,abitu; kriitika; tähtsus; kirjanik
1,1,1,0,1,1,0,1,1,11,abitu; kriitika; tähtsus; kirjanik
1,1,1,0,1,0,0,1,1,11,abitu; kriitika; tähtsus; kirjanik
1,1,1,0,1,0,0,1,1,11,abitu; kriitika; tähtsus; kirjanik
1,1,1,0,1,0,0,1,1,11,rahutu; tähtsus; kirjanik; abitu
2,1,2,1,1,0,0,1,1,11,kaas; abitu; kirjanik; tähtsus
1,1,2,0,1,0,1,1,1,11,rahutu; abitu; kirjanik; tähtsus
1,1,1,0,1,0,1,1,1,11,rahutu; abitu; kirjanik; tähtsus
