EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,4,5,1,0,4,3,3,1,12,kaevamine; aivar; kultuur; arheoloogiline; keraamika
2,4,5,1,0,4,3,3,1,12,kaevamine; aivar; kultuur; arheoloogiline; keraamika
2,4,5,1,0,4,3,3,1,12,kaevamine; aivar; kultuur; arheoloogiline; keraamika
2,4,5,1,0,4,3,3,1,12,kaevamine; aivar; kultuur; arheoloogiline; keraamika
2,4,5,1,0,4,3,3,1,12,kaevamine; aivar; kultuur; arheoloogiline; keraamika
2,4,5,1,0,4,3,3,1,12,kaevamine; aivar; kultuur; arheoloogiline; keraamika
2,4,5,1,0,4,3,3,1,12,kaevamine; aivar; kultuur; arheoloogiline; keraamika
2,4,5,1,0,4,3,3,1,12,kaevamine; aivar; kultuur; arheoloogiline; keraamika
2,4,5,1,0,4,3,3,1,12,kaevamine; aivar; kultuur; arheoloogiline; keraamika
2,4,5,1,0,4,3,3,1,12,kaevamine; aivar; kultuur; arheoloogiline; keraamika
2,4,5,1,0,4,3,3,1,12,kaevamine; aivar; kultuur; arheoloogiline; keraamika
