EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,2,2,0,3,2,3,1,10,september; vikerhommik; rokkmuusika; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
3,4,2,2,0,3,2,3,1,10,september; vikerhommik; rokkmuusika; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
3,4,2,2,0,3,2,3,1,10,september; vikerhommik; rokkmuusika; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
3,4,2,2,0,3,2,3,1,10,september; vikerhommik; rokkmuusika; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
3,4,2,2,0,3,2,3,1,10,september; vikerhommik; rokkmuusika; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
3,4,2,2,0,3,2,3,1,10,september; vikerhommik; rokkmuusika; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
3,4,2,2,0,3,2,3,1,10,september; vikerhommik; rokkmuusika; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
3,4,2,2,0,3,2,3,1,10,september; vikerhommik; rokkmuusika; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
3,4,2,2,0,3,2,3,1,10,september; vikerhommik; rokkmuusika; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
3,4,2,2,0,3,2,3,1,10,september; vikerhommik; rokkmuusika; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
3,4,2,2,0,3,2,3,1,10,september; vikerhommik; rokkmuusika; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
