EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,5,3,1,2,1,1,0,13,aeg; tele; raadiojaam; port; uudis; kristjan; internet; tehnoloogia
0,1,5,3,1,2,1,1,0,13,aeg; tele; raadiojaam; port; uudis; kristjan; internet; tehnoloogia
0,1,5,3,1,2,1,1,0,13,aeg; tele; raadiojaam; port; uudis; kristjan; internet; tehnoloogia
0,1,5,3,1,2,1,1,0,13,aeg; tele; raadiojaam; port; uudis; kristjan; internet; tehnoloogia
0,1,5,3,1,2,1,1,2,13,aeg; tele; raadiojaam; port; uudis; kristjan; internet; tehnoloogia
0,1,5,3,1,2,1,1,2,13,aeg; tele; raadiojaam; port; uudis; kristjan; internet; tehnoloogia
0,1,5,3,1,2,1,1,2,13,aeg; tele; raadiojaam; port; uudis; kristjan; internet; tehnoloogia
0,1,5,3,1,2,1,1,1,13,aeg; tele; raadiojaam; port; uudis; kristjan; internet; tehnoloogia
0,1,5,2,1,2,1,1,1,13,aeg; tele; raadiojaam; port; uudis; kristjan; internet; tehnoloogia
0,1,5,2,1,2,1,2,1,13,aeg; tele; raadiojaam; port; uudis; kristjan; internet; tehnoloogia
0,1,3,3,1,2,2,2,2,13,uudis; kristjan; aeg; internet; tele; tehnoloogia; port; raadiojaam
