EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,4,1,3,2,3,6,4,13,martin; salaja; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
3,3,4,1,3,2,3,6,5,13,martin; salaja; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
3,3,4,1,3,2,3,6,5,13,martin; salaja; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
3,3,4,1,3,2,3,6,5,13,martin; salaja; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
3,3,4,1,3,2,3,6,5,13,martin; salaja; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
3,3,4,1,3,2,3,6,5,13,martin; salaja; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
3,3,4,1,3,2,3,6,5,13,martin; salaja; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
3,3,4,1,3,2,3,6,5,13,martin; salaja; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
3,3,4,1,3,2,3,6,5,13,martin; salaja; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
3,3,4,1,3,2,3,6,5,13,martin; salaja; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
3,3,4,1,3,2,3,6,5,13,martin; salaja; noorsooühing; vangla; nurk; raamat; kommunistlik; ämber; ajaleht
