EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,4,1,2,3,3,3,2,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama
3,3,4,1,2,3,3,3,2,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama
3,3,4,1,2,3,3,3,2,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama
3,3,4,1,2,3,3,3,2,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama
3,3,4,1,2,3,3,3,2,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama
3,3,4,1,2,3,3,3,2,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama
3,3,4,1,2,3,3,3,2,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama
3,3,4,1,2,3,3,3,2,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama
3,3,4,1,2,3,3,3,2,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama
3,3,4,1,2,3,3,3,2,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama
3,3,4,1,2,3,3,3,2,12,energia; põlevkivitootja; koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; töötama
