EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,1,0,0,3,1,1,0,11,olümpia; andres; uunikum; muusika; barcelona; mercury
4,2,1,0,0,3,1,1,0,11,olümpia; andres; uunikum; muusika; barcelona; mercury
4,2,1,0,0,3,1,1,0,11,olümpia; andres; uunikum; muusika; barcelona; mercury
4,2,1,0,0,3,1,1,0,11,olümpia; andres; uunikum; muusika; barcelona; mercury
4,2,1,0,0,3,1,1,0,11,olümpia; andres; uunikum; muusika; barcelona; mercury
4,2,1,0,0,3,1,1,0,11,olümpia; andres; uunikum; muusika; barcelona; mercury
4,2,1,0,0,3,1,1,0,11,olümpia; andres; uunikum; muusika; barcelona; mercury
4,2,1,0,0,3,1,1,0,11,olümpia; andres; uunikum; muusika; barcelona; mercury
4,2,1,0,0,3,1,1,0,11,olümpia; andres; uunikum; muusika; barcelona; mercury
4,2,1,0,0,3,1,1,0,11,olümpia; andres; uunikum; muusika; barcelona; mercury
4,2,1,0,0,3,1,1,0,11,olümpia; andres; uunikum; muusika; barcelona; mercury
