EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,3,3,2,0,3,3,3,3,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg
1,3,3,2,0,3,3,3,3,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg
1,3,3,2,0,3,3,3,3,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg
1,3,3,2,0,3,3,3,3,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg
1,3,3,2,0,3,3,3,2,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg
1,3,3,2,0,3,3,3,2,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg
1,3,3,2,0,3,3,3,2,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg
1,3,3,2,0,3,3,3,2,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg
1,3,3,2,0,3,3,3,2,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg
1,3,3,2,0,3,3,3,2,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg
1,3,3,2,0,3,3,3,2,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg
