EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,5,4,8,4,5,4,4,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,5,4,8,4,5,4,4,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,5,4,8,4,5,4,4,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,5,4,8,4,5,4,4,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,5,4,8,4,5,4,4,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,5,4,8,4,5,4,4,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,5,4,8,4,5,4,4,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,5,4,8,4,5,4,4,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,5,4,8,4,5,4,4,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,5,4,8,4,5,4,4,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
2,5,4,8,4,5,4,4,6,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
