EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,12,8,4,4,7,5,10,6,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,12,8,4,4,7,5,10,6,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,12,8,4,4,7,5,10,6,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,12,8,4,4,7,5,10,6,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,12,8,4,4,7,5,10,6,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,12,8,4,4,7,5,10,6,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,12,9,4,4,7,5,10,6,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,12,10,8,4,7,6,10,6,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
7,12,9,7,4,8,6,10,6,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
7,12,9,8,3,7,7,11,6,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,12,9,9,3,7,7,10,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
