EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,7,5,4,5,5,7,7,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
7,4,7,5,4,5,5,7,7,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
7,4,7,5,4,5,5,7,7,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
7,4,7,5,4,5,5,7,7,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
7,4,7,5,4,5,5,7,7,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
7,4,7,5,4,5,5,7,7,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
7,4,6,5,4,5,5,7,7,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
5,4,7,6,4,5,5,7,7,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
7,4,6,6,4,5,5,7,7,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
7,4,6,7,4,6,5,8,7,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
8,4,5,8,4,6,5,8,7,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
