EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,3,4,1,2,2,4,2,13,eesti; vändra; jansen; selts; saksa-vastane; kirjutama
3,1,3,4,1,2,2,4,2,13,eesti; vändra; jansen; selts; saksa-vastane; kirjutama
3,1,3,4,1,2,2,4,2,13,eesti; vändra; jansen; selts; saksa-vastane; kirjutama
3,1,3,4,1,2,2,4,2,13,eesti; vändra; jansen; selts; saksa-vastane; kirjutama
3,1,3,3,1,3,2,4,2,13,eesti; vändra; jansen; selts; saksa-vastane; kirjutama
3,1,1,3,1,3,1,4,2,13,eesti; vändra; jansen; selts; saksa-vastane; kirjutama
3,3,2,3,1,2,1,5,2,13,eesti; jansen; vändra; selts; saksa-vastane; kirjutama
1,3,2,3,1,3,2,6,2,13,eesti; jansen; vändra; selts; saksa-vastane; kirjutama
2,1,2,4,1,3,2,6,2,13,eesti; jansen; vändra; selts; saksa-vastane; kirjutama
2,1,1,4,1,3,3,5,4,13,eesti; jansen; vändra; selts; saksa-vastane; kirjutama
3,1,3,4,1,3,3,4,4,13,eesti; jansen; vändra; selts; saksa-vastane; kirjutama
