EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,4,8,2,3,2,4,5,12,lasteporno; tarkus; tsensuur; port; john; internetiteenus; mccain; lamar; jälitamiskohustus; seadusalgatus; kristjan
7,4,4,8,2,3,2,4,5,12,lasteporno; tarkus; tsensuur; port; john; internetiteenus; mccain; lamar; jälitamiskohustus; seadusalgatus; kristjan
7,4,4,8,2,3,2,4,5,12,lasteporno; tarkus; tsensuur; port; john; internetiteenus; mccain; lamar; jälitamiskohustus; seadusalgatus; kristjan
7,4,4,8,2,3,2,4,5,12,lasteporno; tarkus; tsensuur; port; john; internetiteenus; mccain; lamar; jälitamiskohustus; seadusalgatus; kristjan
7,4,4,8,2,3,2,4,5,12,lasteporno; tarkus; tsensuur; port; john; internetiteenus; mccain; lamar; jälitamiskohustus; seadusalgatus; kristjan
8,4,5,8,2,4,2,4,5,12,lasteporno; tarkus; tsensuur; port; john; internetiteenus; mccain; lamar; jälitamiskohustus; seadusalgatus; kristjan
7,4,6,8,2,4,2,4,5,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; mccain; lamar; jälitamiskohustus; john; kristjan
4,4,5,8,2,4,4,5,5,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; mccain; lamar; jälitamiskohustus; john; kristjan
3,4,7,6,2,4,4,7,5,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; kristjan; lamar; jälitamiskohustus; john; mccain
5,5,8,6,3,3,4,8,5,12,tsensuur; port; seadusalgatus; internetiteenus; mccain; jälitamiskohustus; lasteporno; tarkus; john; kristjan; lamar
5,5,8,6,3,3,4,8,5,12,tsensuur; port; seadusalgatus; internetiteenus; mccain; jälitamiskohustus; lasteporno; tarkus; john; kristjan; lamar
