EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,3,4,2,4,1,4,4,12,nsv; teater; riiklik; sõprus; näitleja; liit
2,2,3,4,2,4,1,4,4,12,nsv; teater; riiklik; sõprus; näitleja; liit
2,2,3,4,2,4,1,4,4,12,nsv; teater; riiklik; sõprus; näitleja; liit
2,2,3,4,2,4,1,4,4,12,nsv; teater; riiklik; sõprus; näitleja; liit
2,2,3,4,2,4,1,4,4,12,nsv; teater; riiklik; sõprus; näitleja; liit
2,2,3,4,2,4,1,4,4,12,nsv; teater; riiklik; sõprus; näitleja; liit
2,2,3,4,2,4,1,4,4,12,nsv; teater; riiklik; sõprus; näitleja; liit
2,2,3,4,2,4,2,4,4,12,nsv; teater; riiklik; sõprus; näitleja; liit
3,2,3,2,2,4,3,4,4,12,nsv; teater; riiklik; sõprus; näitleja; liit
2,2,3,2,2,4,3,4,4,12,riiklik; teater; nsv; sõprus; näitleja; liit
2,2,3,3,1,4,3,4,4,12,nsv; riiklik; teater; sõprus; näitleja; liit
