EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,3,4,2,5,5,7,5,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
7,4,3,4,2,5,5,7,5,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
7,4,3,4,2,5,5,7,5,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
7,4,3,4,2,5,5,7,5,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
7,4,3,4,2,5,5,7,5,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
7,4,3,4,2,5,5,7,5,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
7,4,3,4,2,5,5,7,5,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
7,4,3,4,2,5,5,7,5,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
7,4,3,4,2,5,5,7,5,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
7,4,3,4,2,5,5,7,5,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
7,4,3,4,2,5,5,7,5,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
