EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,7,4,7,5,5,6,5,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,7,4,7,5,5,6,5,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,7,4,7,5,5,6,5,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,7,4,7,5,5,6,5,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,7,4,7,5,5,6,5,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,7,4,7,5,5,6,6,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,7,4,7,5,5,6,6,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,7,4,7,5,5,6,5,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,7,4,7,5,5,6,5,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,7,4,7,5,5,6,5,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
7,9,7,4,7,5,5,6,4,12,koostöö; rahvus; andma; põlevkivikaevandus; sõprus; nõukogu; liit; energia; põlevkivitootja; töötama
