EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,3,7,1,7,7,6,2,12,luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass; romaan
4,6,3,7,2,7,7,6,2,12,luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass; romaan
4,6,3,7,2,7,7,6,3,12,luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass; romaan
4,6,3,7,2,7,7,6,3,12,luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass; romaan
4,6,4,7,2,7,7,6,3,12,luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass; romaan
4,6,5,7,2,7,7,6,3,12,luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass; romaan
3,6,5,6,2,7,7,6,3,12,luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass; romaan
4,6,5,6,2,7,7,6,3,12,luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass; romaan
6,7,5,8,3,6,7,7,2,12,luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass; romaan
8,6,5,7,3,6,7,6,3,12,luuletaja; tulevik; iroonia; viivi; raadioarhiiv; intervjuu; kollane; mati; unt; kass; romaan
5,4,5,5,3,6,5,7,3,12,luuletaja; tulevik; iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass; romaan
