EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,6,5,3,4,6,4,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
7,8,6,5,3,4,6,4,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
7,8,6,5,3,4,6,4,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
7,8,6,5,3,4,6,4,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
7,8,6,5,3,4,6,4,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
7,8,6,5,3,4,6,4,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
7,8,6,5,3,4,6,4,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
7,8,6,5,3,4,6,4,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
7,8,6,5,3,4,6,4,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
7,8,6,5,3,4,6,4,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
7,8,6,5,3,4,6,4,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
