EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,3,5,4,4,6,6,5,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
5,5,3,5,4,4,6,6,5,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
5,5,3,5,4,4,6,6,5,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
5,5,3,5,4,4,6,6,5,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
5,5,3,5,4,4,6,6,5,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
5,5,3,5,4,4,6,6,5,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
5,5,3,5,4,4,6,6,5,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
5,5,3,5,4,4,6,6,5,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
5,5,3,5,4,4,6,6,5,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
5,5,3,5,4,4,6,6,5,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
5,5,3,5,4,4,6,6,5,10,õnnistus; rahvakoosolek; kanada; kuulaja; ameerika; jutlus; tempel; laulma; jumal; altar
