EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,4,4,2,1,3,4,6,13,merike; õpetamine; käär; koolipõlv; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
7,4,4,4,2,1,3,4,6,13,merike; õpetamine; käär; koolipõlv; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
7,4,4,4,2,1,3,4,6,13,merike; õpetamine; käär; koolipõlv; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
7,4,4,4,2,1,3,4,6,13,merike; õpetamine; käär; koolipõlv; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
7,4,4,4,2,1,3,4,6,13,merike; õpetamine; käär; koolipõlv; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
7,4,4,4,2,2,3,4,6,13,merike; õpetamine; käär; koolipõlv; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
7,4,6,4,2,2,3,4,7,13,merike; õpetamine; käär; koolipõlv; aasta; hiiu; hiidlane; lasteraamat; sõna; lili
7,4,6,5,2,2,3,6,6,13,merike; õpetamine; käär; koolipõlv; aasta; hiiu; sõna; lasteraamat; hiidlane; lili
7,4,5,7,2,4,2,7,7,13,merike; õpetamine; käär; koolipõlv; aasta; hiiu; sõna; lasteraamat; hiidlane; lili
6,4,6,5,3,4,2,7,7,13,merike; õpetamine; koolipõlv; käär; aasta; hiiu; lasteraamat; sõna; hiidlane; lili
4,5,6,5,3,4,2,7,7,13,merike; õpetamine; koolipõlv; käär; aasta; hiiu; sõna; lasteraamat; hiidlane; lili
