EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,7,6,2,7,6,7,4,10,teadus; tulemus; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; õpe
5,4,7,6,2,7,6,7,4,10,teadus; tulemus; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; õpe
5,4,7,6,2,7,6,7,4,10,teadus; tulemus; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; õpe
5,4,7,6,2,7,6,7,4,10,teadus; tulemus; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; õpe
5,4,7,6,2,7,6,7,4,10,teadus; tulemus; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; õpe
5,4,7,6,2,7,6,7,4,10,teadus; tulemus; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; õpe
5,4,7,6,2,7,6,7,4,10,teadus; tulemus; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; õpe
5,4,7,6,2,7,6,7,4,10,teadus; tulemus; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; õpe
5,4,7,6,2,7,7,7,4,10,teadus; tulemus; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; õpe
4,4,7,6,2,7,6,7,4,10,teadus; tulemus; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; õpe
4,4,7,6,1,7,7,7,4,10,teadus; tulemus; riigikogu; teadlane; akadeemia; rahvusvaheline; väljapaistev; valitsus; iseseisvuspäev; õpe
