EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,6,6,3,3,3,7,6,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; eerik; mart; valgus
8,7,6,6,3,3,3,7,6,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; eerik; mart; valgus
8,7,6,6,3,3,3,7,6,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; eerik; mart; valgus
8,7,6,6,3,3,3,7,6,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; eerik; mart; valgus
8,7,6,6,3,3,3,7,6,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; eerik; mart; valgus
8,7,6,6,3,3,3,7,6,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; eerik; mart; valgus
8,7,6,6,3,3,3,7,6,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; eerik; mart; valgus
8,7,6,6,3,3,3,7,6,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; eerik; mart; valgus
8,7,6,6,3,3,3,7,6,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; eerik; mart; valgus
8,7,6,6,3,3,3,7,6,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; eerik; mart; valgus
8,7,6,6,3,3,3,7,6,11,aktiivne; mendelejev; klaas; muldmetall; plastik; tabel; neodüüm; eerik; mart; valgus
