EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,4,5,5,6,4,4,3,11,aeg; heategevus; süsteem; vaba; kingitus; jõulurõõm; õnnetunne; tegutsemisaeg
5,5,4,5,5,6,4,4,3,11,aeg; heategevus; süsteem; vaba; kingitus; jõulurõõm; õnnetunne; tegutsemisaeg
5,5,4,5,5,6,4,4,3,11,aeg; heategevus; süsteem; vaba; kingitus; jõulurõõm; õnnetunne; tegutsemisaeg
5,5,4,5,5,6,4,4,3,11,aeg; heategevus; süsteem; vaba; kingitus; jõulurõõm; õnnetunne; tegutsemisaeg
5,5,4,5,5,6,4,4,3,11,aeg; heategevus; süsteem; vaba; kingitus; jõulurõõm; õnnetunne; tegutsemisaeg
5,5,5,5,5,6,4,4,3,11,aeg; heategevus; süsteem; vaba; kingitus; jõulurõõm; õnnetunne; tegutsemisaeg
5,5,5,5,5,6,4,4,3,11,aeg; heategevus; süsteem; vaba; kingitus; jõulurõõm; õnnetunne; tegutsemisaeg
5,5,5,6,5,6,4,4,3,11,aeg; heategevus; süsteem; vaba; kingitus; jõulurõõm; õnnetunne; tegutsemisaeg
5,5,5,6,5,6,5,5,3,11,aeg; heategevus; süsteem; vaba; kingitus; jõulurõõm; õnnetunne; tegutsemisaeg
5,6,6,5,6,6,5,5,3,11,aeg; heategevus; süsteem; vaba; kingitus; jõulurõõm; õnnetunne; tegutsemisaeg
5,6,6,4,6,6,6,5,3,11,aeg; heategevus; süsteem; vaba; kingitus; jõulurõõm; õnnetunne; tegutsemisaeg
