EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,9,7,4,9,8,9,9,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,8,9,7,4,9,8,9,10,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,8,9,7,4,9,8,9,10,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,8,9,7,4,9,8,9,10,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,8,9,7,4,9,8,9,10,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,8,9,7,4,9,8,9,10,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,8,9,7,4,9,8,9,10,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,8,9,7,4,9,8,9,10,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,8,9,7,4,9,8,9,10,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,8,9,7,4,9,8,9,10,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
6,8,9,7,4,9,8,9,10,15,jüri; luterlik; hommikupalvus; patt; rahu; ori; jumal; kangekaelsus; eesti; kirik; kannatlikkus; evangeelium; sõna
