EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,7,5,5,5,4,3,5,7,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
2,7,5,5,5,4,3,5,7,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
2,7,5,5,5,4,3,5,7,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
2,7,5,5,5,4,3,5,7,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
2,7,5,5,5,4,3,5,7,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
2,7,5,5,5,4,3,5,7,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
2,7,5,5,5,4,3,5,7,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
2,7,5,5,5,4,3,5,7,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
2,7,5,5,5,4,3,5,7,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
2,7,5,5,5,4,3,5,7,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
2,7,5,5,5,4,3,5,7,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
