EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,4,5,1,2,4,1,2,13,saepuru; uno; eesti; buldooser; vesi; akadeemia; toru; põllumaa; pauts; sügavus; ekskavaator; põllumajandus
7,6,4,5,1,2,4,1,3,13,saepuru; uno; eesti; buldooser; vesi; akadeemia; toru; põllumaa; pauts; sügavus; ekskavaator; põllumajandus
7,6,4,5,1,2,4,1,3,13,saepuru; uno; eesti; buldooser; vesi; akadeemia; toru; põllumaa; pauts; sügavus; ekskavaator; põllumajandus
7,6,4,5,1,2,4,1,3,13,saepuru; uno; eesti; buldooser; vesi; akadeemia; toru; põllumaa; pauts; sügavus; ekskavaator; põllumajandus
7,6,5,5,1,3,4,1,3,13,saepuru; uno; eesti; buldooser; vesi; akadeemia; toru; põllumaa; pauts; sügavus; ekskavaator; põllumajandus
7,7,5,5,1,4,3,2,3,13,saepuru; uno; eesti; buldooser; vesi; akadeemia; toru; põllumaa; pauts; sügavus; ekskavaator; põllumajandus
9,5,7,5,1,4,4,3,3,13,saepuru; uno; eesti; buldooser; vesi; akadeemia; toru; põllumaa; pauts; sügavus; ekskavaator; põllumajandus
5,5,5,5,1,2,4,6,3,13,saepuru; uno; eesti; akadeemia; vesi; buldooser; toru; pauts; põllumaa; sügavus; ekskavaator; põllumajandus
3,6,6,7,2,2,5,7,3,13,saepuru; uno; eesti; akadeemia; vesi; buldooser; toru; põllumaa; pauts; sügavus; ekskavaator; põllumajandus
3,6,6,6,2,2,4,6,2,13,saepuru; uno; eesti; akadeemia; vesi; buldooser; toru; pauts; sügavus; põllumaa; ekskavaator; põllumajandus
2,5,5,6,3,2,3,7,1,13,saepuru; uno; eesti; akadeemia; vesi; buldooser; toru; põllumaa; sügavus; pauts; ekskavaator; põllumajandus
