EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,5,6,4,6,4,5,4,10,ühendproov; saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
7,6,5,6,4,6,4,5,4,10,ühendproov; saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
7,6,5,6,4,6,4,5,4,10,ühendproov; saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
7,6,5,6,4,6,4,5,4,10,ühendproov; saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
7,6,5,6,4,6,4,5,4,10,ühendproov; saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
7,6,5,6,4,6,4,5,4,10,ühendproov; saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
7,6,5,6,4,6,4,5,4,10,ühendproov; saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
7,6,6,6,4,6,4,5,5,10,ühendproov; saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
8,6,6,6,4,6,4,5,5,10,ühendproov; saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
8,6,6,6,4,7,4,5,5,10,ühendproov; saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
8,6,6,6,4,7,4,6,5,10,ühendproov; saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
