EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,6,5,5,2,7,8,9,8,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
10,6,5,5,2,7,8,9,8,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
10,6,5,5,2,7,8,9,8,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
10,6,5,5,2,7,8,9,8,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
10,6,5,5,2,7,8,9,8,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
10,6,5,5,2,7,8,9,8,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
10,6,5,5,2,7,8,9,8,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
10,6,5,5,2,7,8,9,8,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
10,6,5,5,2,7,8,9,8,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
10,6,5,5,2,7,8,9,8,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
10,6,5,5,2,7,8,9,8,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
