EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,6,7,5,4,7,6,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,5,6,7,5,4,7,6,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,5,6,7,5,4,7,6,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,5,6,7,5,4,7,6,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,5,6,7,5,4,7,6,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,5,6,7,5,4,7,6,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,5,6,7,5,4,7,6,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,5,6,7,5,4,7,6,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,5,6,7,5,4,7,6,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,5,6,7,5,4,7,6,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,5,6,7,5,4,7,6,7,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
