word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
juhul;NOUN;O;1;yes;2;454;932046280;2198.9246836134707
võib;AUX;O;1;yes;1;454;932046280;2201.2813991706166
öelda;VERB;O;1;no;336711;454;932046280;6.083043745038619
seda;PRON;O;1;yes;2;454;932046280;2198.9246836134707
kestnud;ADJ;O;1;no;38254;454;932046280;52.413999770566775
sõprus;NOUN;O;1;no;1;454;932046280;2201.2813991706166
kandnud;VERB;O;1;no;18988;454;932046280;103.10706068948646
tugevalt;ADV;O;1;no;40069;454;932046280;50.09378069776758
vilja;NOUN;O;1;no;18629;454;932046280;104.99936411015632
kõige;ADV;O;1;yes;1;454;932046280;2201.2813991706166
alus;NOUN;O;1;no;33338;454;932046280;59.932729706524896
loota;VERB;O;1;no;36531;454;932046280;54.82462385408929
tema;PRON;O;1;yes;1;454;932046280;2201.2813991706166
areng;NOUN;O;1;no;40543;454;932046280;49.52128098576142
olnud;AUX;O;1;yes;3;454;932046280;2196.5730089096114
niisugune;DET;O;1;yes;18298;454;932046280;106.80668110848347
perspektiiv;NOUN;O;1;no;3242;454;932046280;492.0638830888428
