word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
oleme;AUX;O;4;yes;421610;3883;932046280;2.27447691827805
nüüd;ADV;O;9;yes;1122297;3883;932046280;1.9241175650290099
saatesarjaga;NOUN;O;1;no;108;3883;932046280;231.6863895003393
,;PUNCT;O;237;no;1;3883;932046280;60970.86586282811
need;PRON;O;6;yes;1284846;3883;932046280;1.1208211074440166
kuumad;ADJ;O;2;no;4536;3883;932046280;87.96507274128591
kuuekümnendad;ADJ;O;2;no;172;3883;932046280;435.66750550793745
umbes;ADV;O;1;yes;1;3883;932046280;258.2557507506047
poole;NUM;O;1;yes;1;3883;932046280;258.2557507506047
peal;ADP;O;1;yes;1;3883;932046280;258.2557507506047
ja;CCONJ;O;86;yes;1;3883;932046280;22125.085663998856
ansambel;NOUN;O;10;no;18317;3883;932046280;124.74681726125442
seal;ADV;O;8;yes;1;3883;932046280;2059.053508312226
peidus;ADV;O;1;no;13841;3883;932046280;16.31109542062972
on;AUX;O;30;yes;1;3883;932046280;7718.703603505891
jõudnud;VERB;O;5;no;183571;3883;932046280;6.509890631775939
oma;PRON;O;20;yes;1;3883;932046280;5146.135378417861
tegemistes;NOUN;O;1;no;4187;3883;932046280;47.072160388137554
nii;ADV;O;19;yes;1;3883;932046280;4888.878555909058
kaugele;ADV;O;1;no;47987;3883;932046280;4.925782202441967
kus;ADV;O;12;yes;1;3883;932046280;3088.080798347438
kuumus;NOUN;O;1;no;6418;3883;932046280;32.78408847331216
muutub;VERB;O;1;no;119580;3883;932046280;1.9995060656973431
tõepoolest;ADV;O;1;no;73160;3883;932046280;3.2522325893906854
juba;ADV;O;16;yes;1;3883;932046280;4117.10808838265
talumatuks;ADJ;O;1;no;631;3883;932046280;154.16342472371255
.;PUNCT;O;270;no;1;3883;932046280;69460.34100561861
maania;NOUN;O;2;no;664;3883;932046280;301.36788312486647
saab;VERB;O;2;yes;2;3883;932046280;514.9606599502948
sisse;ADV;O;5;yes;1;3883;932046280;1287.2830407858166
täie;ADJ;O;1;no;14864;3883;932046280;15.254739271785606
oo;NOUN;O;1;yes;1;3883;932046280;258.2557507506047
ringreisid;NOUN;O;1;no;151;3883;932046280;222.48778466462107
ameerikas;PROPN;O;10;no;1;3883;932046280;2573.5671533298314
ning;CCONJ;O;9;yes;1;3883;932046280;2316.310330821029
euroopas;PROPN;O;1;no;82084;3883;932046280;2.902626399644757
viivad;VERB;O;1;no;27450;3883;932046280;8.49003504360641
menuga;NOUN;O;1;no;160;3883;932046280;220.65417184192867
hämmingusse;NOUN;O;1;no;207;3883;932046280;211.5494091482033
ka;ADV;O;38;yes;3;3883;932046280;9755.84636692575
kõige;ADV;O;3;yes;1;3883;932046280;772.7693957682108
