EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,1,1,2,2,3,2,1,11,kümnevõistleja; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
4,3,1,1,2,2,3,2,0,11,kümnevõistleja; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
4,3,1,1,2,2,3,2,0,11,kümnevõistleja; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
4,3,1,1,2,2,3,2,0,11,kümnevõistleja; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
4,3,1,1,2,2,3,2,0,11,kümnevõistleja; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
4,3,1,1,2,2,3,2,0,11,kümnevõistleja; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
4,3,1,1,2,2,3,2,0,11,kümnevõistleja; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
4,3,1,1,2,2,3,2,0,11,kümnevõistleja; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
4,3,1,1,2,2,3,2,0,11,kümnevõistleja; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
4,3,1,1,2,2,3,2,0,11,kümnevõistleja; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
2,3,1,1,2,2,3,2,0,11,kümnevõistleja; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
