EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,2,1,1,2,2,1,0,10,repertuaar; saatja; ühendproov; laulupidu; traditsioon
1,1,2,1,1,2,2,1,0,10,repertuaar; saatja; ühendproov; laulupidu; traditsioon
1,1,2,1,1,2,2,1,0,10,repertuaar; saatja; ühendproov; laulupidu; traditsioon
1,1,2,1,1,2,2,1,0,10,repertuaar; saatja; ühendproov; laulupidu; traditsioon
1,1,2,1,1,2,2,1,0,10,repertuaar; saatja; ühendproov; laulupidu; traditsioon
1,1,2,1,1,2,2,1,0,10,repertuaar; saatja; ühendproov; laulupidu; traditsioon
1,1,2,1,1,2,2,1,0,10,repertuaar; saatja; ühendproov; laulupidu; traditsioon
1,2,2,1,1,2,2,1,0,10,repertuaar; ühendproov; saatja; laulupidu; traditsioon
1,2,2,1,1,2,2,1,0,10,repertuaar; ühendproov; saatja; laulupidu; traditsioon
1,2,2,1,1,2,2,1,0,10,repertuaar; ühendproov; saatja; laulupidu; traditsioon
1,2,2,2,1,2,2,1,0,10,repertuaar; ühendproov; saatja; laulupidu; traditsioon
