EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,1,1,1,2,1,3,2,13,isa; martin; ema; isikud; pius; ilmar
3,2,1,1,1,2,1,3,2,13,isa; martin; ema; isikud; pius; ilmar
3,2,1,1,1,2,1,3,2,13,isa; martin; ema; isikud; pius; ilmar
3,2,1,1,1,2,1,3,2,13,isa; martin; ema; isikud; pius; ilmar
3,2,1,1,1,2,1,3,2,13,isa; martin; ema; isikud; pius; ilmar
3,2,1,1,1,2,1,3,2,13,isa; martin; ema; isikud; pius; ilmar
3,2,1,1,1,2,1,3,2,13,isa; martin; ema; isikud; pius; ilmar
2,2,1,1,1,2,2,3,2,13,isa; martin; ema; isikud; pius; ilmar
3,2,1,1,1,2,2,3,2,13,isa; martin; ema; isikud; pius; ilmar
3,2,1,2,1,2,2,3,2,13,isa; martin; ema; isikud; pius; ilmar
2,2,2,1,2,2,1,3,3,13,martin; pius; ilmar; isa; ema; isikud
