EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,1,0,0,2,0,0,0,13,neitsi; püha; jumal; johannes; kolmas
2,2,1,0,0,2,0,0,0,13,neitsi; püha; jumal; johannes; kolmas
2,2,1,0,0,2,0,0,0,13,neitsi; püha; jumal; johannes; kolmas
2,2,1,0,0,2,0,0,1,13,neitsi; püha; jumal; johannes; kolmas
2,2,1,0,0,2,0,0,1,13,neitsi; püha; jumal; johannes; kolmas
2,2,1,0,0,2,0,0,1,13,neitsi; püha; jumal; johannes; kolmas
2,2,1,0,0,2,0,0,1,13,neitsi; püha; jumal; johannes; kolmas
2,2,1,1,0,2,0,0,1,13,neitsi; püha; jumal; johannes; kolmas
2,2,1,1,0,2,1,0,1,13,neitsi; püha; jumal; johannes; kolmas
0,2,1,1,0,2,0,0,1,13,neitsi; püha; jumal; johannes; kolmas
0,2,1,1,0,2,0,2,1,13,neitsi; püha; jumal; johannes; kolmas
