EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,2,1,0,2,2,3,2,15,jumala; eesti; ori; johannese; kannatlikkus; sõna
1,1,2,1,0,2,2,3,3,15,jumala; eesti; ori; johannese; kannatlikkus; sõna
1,1,2,1,0,2,2,3,3,15,jumala; eesti; ori; johannese; kannatlikkus; sõna
1,1,2,1,0,2,2,3,3,15,jumala; eesti; ori; johannese; kannatlikkus; sõna
1,1,2,1,0,2,2,3,3,15,jumala; eesti; ori; johannese; kannatlikkus; sõna
1,1,2,1,0,2,2,3,3,15,jumala; eesti; ori; johannese; kannatlikkus; sõna
1,1,2,1,0,2,2,3,3,15,jumala; eesti; ori; johannese; kannatlikkus; sõna
1,1,2,1,0,2,2,3,3,15,jumala; eesti; ori; johannese; kannatlikkus; sõna
1,1,2,1,0,2,2,3,3,15,jumala; eesti; ori; johannese; kannatlikkus; sõna
1,1,2,1,0,2,2,3,3,15,jumala; eesti; ori; johannese; kannatlikkus; sõna
1,1,2,1,0,2,2,3,3,15,jumala; eesti; ori; johannese; kannatlikkus; sõna
