EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,1,1,1,2,2,1,0,10,määrus; eesmärk; koer; öeldistäide; lausemall
2,1,1,1,1,2,2,1,0,10,määrus; eesmärk; koer; öeldistäide; lausemall
2,1,1,1,1,2,2,1,0,10,määrus; eesmärk; koer; öeldistäide; lausemall
2,1,1,1,1,2,2,1,0,10,määrus; eesmärk; koer; öeldistäide; lausemall
2,1,1,1,1,2,2,1,0,10,määrus; eesmärk; koer; öeldistäide; lausemall
2,1,1,1,1,2,2,1,0,10,määrus; eesmärk; koer; öeldistäide; lausemall
2,1,1,1,1,2,2,1,0,10,määrus; eesmärk; koer; öeldistäide; lausemall
2,1,1,1,1,2,2,1,0,10,määrus; eesmärk; koer; öeldistäide; lausemall
2,1,1,1,1,2,2,1,0,10,määrus; eesmärk; koer; öeldistäide; lausemall
2,1,1,1,1,2,2,1,0,10,määrus; eesmärk; koer; öeldistäide; lausemall
2,1,1,1,1,2,2,1,0,10,määrus; eesmärk; koer; öeldistäide; lausemall
