EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,2,0,2,2,3,3,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja
0,0,2,0,2,2,3,3,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja
0,0,2,0,2,2,3,3,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja
0,0,2,0,2,2,3,3,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja
0,0,2,0,2,2,3,3,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja
0,0,2,0,2,2,3,3,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja
0,0,2,0,2,2,3,3,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja
0,0,2,0,2,2,3,3,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja
0,0,2,0,2,2,3,3,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja
0,0,2,0,2,2,3,3,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja
0,0,2,0,2,2,3,3,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja
