EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,2,1,1,1,2,1,0,12,portaal; nobeli; port
0,0,2,1,1,1,2,1,0,12,portaal; nobeli; port
0,0,2,1,1,1,2,1,0,12,portaal; nobeli; port
0,0,2,1,1,1,2,1,0,12,portaal; nobeli; port
0,0,2,1,1,1,2,1,0,12,portaal; nobeli; port
0,0,2,1,1,1,2,1,0,12,portaal; nobeli; port
0,0,2,1,1,1,2,1,0,12,portaal; nobeli; port
0,0,3,1,1,1,2,1,0,12,portaal; nobeli; port
0,0,2,1,1,1,2,1,0,12,portaal; nobeli; port
0,0,3,0,1,1,1,1,0,12,port; nobeli; portaal
0,0,3,1,1,1,1,1,0,12,port; nobeli; portaal
