EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,2,0,2,0,2,1,2,11,antenn; signaal; elektronkiir; marek; valgus
1,2,2,0,2,0,2,1,1,11,antenn; signaal; elektronkiir; marek; valgus
1,2,2,0,2,0,2,1,1,11,antenn; signaal; elektronkiir; marek; valgus
1,2,2,0,2,0,2,1,1,11,antenn; signaal; elektronkiir; marek; valgus
1,2,2,0,2,0,2,1,1,11,antenn; signaal; elektronkiir; marek; valgus
1,2,2,0,2,0,2,1,1,11,antenn; signaal; elektronkiir; marek; valgus
1,2,2,0,2,0,2,1,1,11,antenn; signaal; elektronkiir; marek; valgus
1,2,2,0,2,0,2,1,1,11,antenn; signaal; elektronkiir; marek; valgus
1,2,2,0,2,0,2,1,1,11,antenn; signaal; elektronkiir; marek; valgus
1,2,2,0,2,0,2,1,1,11,antenn; signaal; elektronkiir; marek; valgus
1,2,2,0,2,0,2,1,1,11,antenn; signaal; elektronkiir; marek; valgus
