EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,9,4,5,7,6,7,0,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
7,5,9,4,5,7,6,7,0,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
7,5,9,4,5,6,5,7,0,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
6,5,9,4,5,6,5,7,0,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
6,6,9,5,5,6,5,7,0,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
6,6,4,4,5,7,6,7,0,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
5,6,3,5,4,7,5,7,0,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
4,6,3,6,4,7,4,7,0,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
4,6,2,6,4,6,5,7,0,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
4,5,1,8,4,5,6,8,0,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
3,5,1,5,4,4,5,6,0,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
