EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,8,4,5,3,4,4,7,12,kristjan; lasteporno; john; port; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
9,7,8,4,6,3,5,4,7,12,kristjan; lasteporno; john; port; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
8,7,9,4,7,3,6,4,7,12,kristjan; lasteporno; john; port; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
7,8,8,4,7,5,7,4,7,12,kristjan; lasteporno; port; john; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
7,7,8,4,7,8,9,6,8,12,kristjan; lasteporno; port; john; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
7,7,8,4,7,8,9,6,7,12,kristjan; lasteporno; port; john; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
7,7,7,3,7,8,9,7,7,12,kristjan; lasteporno; port; john; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
6,7,7,6,8,8,8,8,7,12,kristjan; lasteporno; port; john; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
7,7,7,8,8,8,9,6,7,12,kristjan; lasteporno; port; john; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
6,7,7,7,8,8,8,7,7,12,kristjan; lasteporno; port; john; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
6,6,7,6,8,8,8,7,7,12,kristjan; lasteporno; port; john; lamar; tarkus; mccain; arhiveerima; jälitamiskohustus
